@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,201,0,85,0,1,1,0.702797,1,0.297203,0.825462,1,1,0.024535
1,201,0,84,1,0.988235,1,0.705263,1,0.294737,0.82716,0.996503,1.003509,0.034657
2,201,0,83,2,0.976471,1,0.707746,1,0.292254,0.828866,0.993007,1.007042,0.043712
3,201,0,82,3,0.964706,1,0.710247,1,0.289753,0.830579,0.98951,1.010601,0.050055
4,201,0,81,4,0.952941,1,0.712766,1,0.287234,0.832298,0.986014,1.014184,0.06219
5,201,0,80,5,0.941176,1,0.715302,1,0.284698,0.834025,0.982517,1.017794,0.063794
6,200,1,80,5,0.941176,0.995025,0.714286,0.995025,0.285714,0.831601,0.979021,1.016347,0.070314
7,200,1,79,6,0.929412,0.995025,0.716846,0.995025,0.283154,0.833333,0.975524,1.01999,0.075971
8,199,2,79,6,0.929412,0.99005,0.715827,0.99005,0.284173,0.830898,0.972028,1.01854,0.079866
9,198,3,79,6,0.929412,0.985075,0.714801,0.985075,0.285199,0.828452,0.968531,1.017081,0.08622
10,198,3,78,7,0.917647,0.985075,0.717391,0.985075,0.282609,0.830189,0.965035,1.020766,0.087482
11,198,3,77,8,0.905882,0.985075,0.72,0.985075,0.28,0.831933,0.961538,1.024478,0.088006
12,197,4,77,8,0.905882,0.9801,0.718978,0.9801,0.281022,0.829474,0.958042,1.023024,0.088609
13,196,5,77,8,0.905882,0.975124,0.717949,0.975124,0.282051,0.827004,0.954545,1.021559,0.088881
14,195,6,77,8,0.905882,0.970149,0.716912,0.970149,0.283088,0.824524,0.951049,1.020083,0.098796
15,195,6,76,9,0.894118,0.970149,0.719557,0.970149,0.280443,0.826271,0.947552,1.023848,0.098965
16,194,7,76,9,0.894118,0.965174,0.718519,0.965174,0.281481,0.823779,0.944056,1.02237,0.111862
17,194,7,75,10,0.882353,0.965174,0.72119,0.965174,0.27881,0.825532,0.940559,1.02617,0.117001
18,193,8,75,10,0.882353,0.960199,0.720149,0.960199,0.279851,0.823028,0.937063,1.02469,0.123581
19,192,9,75,10,0.882353,0.955224,0.719101,0.955224,0.280899,0.820513,0.933566,1.023199,0.126138
20,192,9,74,11,0.870588,0.955224,0.721805,0.955224,0.278195,0.82227,0.93007,1.027045,0.134027
21,191,10,74,11,0.870588,0.950249,0.720755,0.950249,0.279245,0.819742,0.926573,1.025551,0.135362
22,191,10,73,12,0.858824,0.950249,0.723485,0.950249,0.276515,0.821505,0.923077,1.029436,0.140365
23,190,11,73,12,0.858824,0.945274,0.722433,0.945274,0.277567,0.818966,0.91958,1.02794,0.140844
24,190,11,72,13,0.847059,0.945274,0.725191,0.945274,0.274809,0.820734,0.916084,1.031864,0.14217
25,189,12,72,13,0.847059,0.940299,0.724138,0.940299,0.275862,0.818182,0.912587,1.030365,0.145228
26,188,13,72,13,0.847059,0.935323,0.723077,0.935323,0.276923,0.815618,0.909091,1.028856,0.148088
27,187,14,72,13,0.847059,0.930348,0.722008,0.930348,0.277992,0.813043,0.905594,1.027334,0.156295
28,187,14,71,14,0.835294,0.930348,0.724806,0.930348,0.275194,0.814815,0.902098,1.031316,0.159855
29,187,14,70,15,0.823529,0.930348,0.727626,0.930348,0.272374,0.816594,0.898601,1.035329,0.1657
30,186,15,70,15,0.823529,0.925373,0.726563,0.925373,0.273438,0.814004,0.895105,1.033815,0.167897
31,186,15,69,16,0.811765,0.925373,0.729412,0.925373,0.270588,0.815789,0.891608,1.037869,0.171285
32,186,15,68,17,0.8,0.925373,0.732283,0.925373,0.267717,0.817582,0.888112,1.041956,0.176133
33,185,16,68,17,0.8,0.920398,0.731225,0.920398,0.268775,0.814978,0.884615,1.04045,0.176927
34,185,16,67,18,0.788235,0.920398,0.734127,0.920398,0.265873,0.816777,0.881119,1.044579,0.186625
35,185,16,66,19,0.776471,0.920398,0.737052,0.920398,0.262948,0.818584,0.877622,1.04874,0.206958
36,185,16,65,20,0.764706,0.920398,0.74,0.920398,0.26,0.820399,0.874126,1.052935,0.209844
37,184,17,65,20,0.764706,0.915423,0.738956,0.915423,0.261044,0.817778,0.870629,1.05145,0.211725
38,183,18,65,20,0.764706,0.910448,0.737903,0.910448,0.262097,0.815145,0.867133,1.049952,0.215557
39,182,19,65,20,0.764706,0.905473,0.736842,0.905473,0.263158,0.8125,0.863636,1.048442,0.221986
40,182,19,64,21,0.752941,0.905473,0.739837,0.905473,0.260163,0.814318,0.86014,1.052704,0.223581
41,182,19,63,22,0.741176,0.905473,0.742857,0.905473,0.257143,0.816143,0.856643,1.057001,0.225689
42,182,19,62,23,0.729412,0.905473,0.745902,0.905473,0.254098,0.817978,0.853147,1.061333,0.228337
43,182,19,61,24,0.717647,0.905473,0.748971,0.905473,0.251029,0.81982,0.84965,1.0657,0.237915
44,182,19,60,25,0.705882,0.905473,0.752066,0.905473,0.247934,0.82167,0.846154,1.070104,0.247355
45,181,20,60,25,0.705882,0.900498,0.751037,0.900498,0.248963,0.819005,0.842657,1.06864,0.253422
46,181,20,59,26,0.694118,0.900498,0.754167,0.900498,0.245833,0.820862,0.839161,1.073093,0.261147
47,180,21,59,26,0.694118,0.895522,0.753138,0.895522,0.246862,0.818182,0.835664,1.071629,0.261225
48,179,22,59,26,0.694118,0.890547,0.752101,0.890547,0.247899,0.81549,0.832168,1.070153,0.273437
49,179,22,58,27,0.682353,0.890547,0.755274,0.890547,0.244726,0.817352,0.828671,1.074669,0.275034
50,178,23,58,27,0.682353,0.885572,0.754237,0.885572,0.245763,0.814645,0.825175,1.073193,0.276162
51,178,23,57,28,0.670588,0.885572,0.757447,0.885572,0.242553,0.816514,0.821678,1.07776,0.293705
52,178,23,56,29,0.658824,0.885572,0.760684,0.885572,0.239316,0.818391,0.818182,1.082366,0.308656
53,177,24,56,29,0.658824,0.880597,0.759657,0.880597,0.240343,0.815668,0.814685,1.080904,0.324068
54,177,24,55,30,0.647059,0.880597,0.762931,0.880597,0.237069,0.817552,0.811189,1.085564,0.363332
