@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,201,0,85,0,1,1,0.702797,1,0.297203,0.825462,1,1,0.075
1,200,1,85,0,1,0.995025,0.701754,0.995025,0.298246,0.823045,0.996503,0.998516,0.151042
2,200,1,84,1,0.988235,0.995025,0.704225,0.995025,0.295775,0.824742,0.993007,1.002032,0.183638
3,199,2,84,1,0.988235,0.99005,0.70318,0.99005,0.29682,0.822314,0.98951,1.000545,0.198435
4,198,3,84,1,0.988235,0.985075,0.702128,0.985075,0.297872,0.819876,0.986014,0.999047,0.214878
5,198,3,83,2,0.976471,0.985075,0.704626,0.985075,0.295374,0.821577,0.982517,1.002603,0.224211
6,197,4,83,2,0.976471,0.9801,0.703571,0.9801,0.296429,0.819127,0.979021,1.001102,0.224892
7,197,4,82,3,0.964706,0.9801,0.706093,0.9801,0.293907,0.820833,0.975524,1.00469,0.229793
8,196,5,82,3,0.964706,0.975124,0.705036,0.975124,0.294964,0.818372,0.972028,1.003186,0.245264
9,196,5,81,4,0.952941,0.975124,0.707581,0.975124,0.292419,0.820084,0.968531,1.006807,0.254889
10,196,5,80,5,0.941176,0.975124,0.710145,0.975124,0.289855,0.821803,0.965035,1.010455,0.2725
11,195,6,80,5,0.941176,0.970149,0.709091,0.970149,0.290909,0.819328,0.961538,1.008955,0.278912
12,194,7,80,5,0.941176,0.965174,0.708029,0.965174,0.291971,0.816842,0.958042,1.007445,0.283068
13,194,7,79,6,0.929412,0.965174,0.710623,0.965174,0.289377,0.818565,0.954545,1.011135,0.304114
14,194,7,78,7,0.917647,0.965174,0.713235,0.965174,0.286765,0.820296,0.951049,1.014852,0.316514
15,194,7,77,8,0.905882,0.965174,0.715867,0.965174,0.284133,0.822034,0.947552,1.018597,0.323892
16,193,8,77,8,0.905882,0.960199,0.714815,0.960199,0.285185,0.819533,0.944056,1.0171,0.325983
17,192,9,77,8,0.905882,0.955224,0.713755,0.955224,0.286245,0.817021,0.940559,1.015591,0.336841
18,191,10,77,8,0.905882,0.950249,0.712687,0.950249,0.287313,0.814499,0.937063,1.014071,0.34105
19,191,10,76,9,0.894118,0.950249,0.715356,0.950249,0.284644,0.816239,0.933566,1.017869,0.34552
20,191,10,75,10,0.882353,0.950249,0.718045,0.950249,0.281955,0.817987,0.93007,1.021696,0.356071
21,190,11,75,10,0.882353,0.945274,0.716981,0.945274,0.283019,0.815451,0.926573,1.020182,0.359848
22,190,11,74,11,0.870588,0.945274,0.719697,0.945274,0.280303,0.817204,0.923077,1.024046,0.362825
23,189,12,74,11,0.870588,0.940299,0.718631,0.940299,0.281369,0.814655,0.91958,1.02253,0.365932
24,189,12,73,12,0.858824,0.940299,0.721374,0.940299,0.278626,0.816415,0.916084,1.026433,0.366169
25,188,13,73,12,0.858824,0.935323,0.720307,0.935323,0.279693,0.813853,0.912587,1.024914,0.371939
26,188,13,72,13,0.847059,0.935323,0.723077,0.935323,0.276923,0.815618,0.909091,1.028856,0.374655
27,187,14,72,13,0.847059,0.930348,0.722008,0.930348,0.277992,0.813043,0.905594,1.027334,0.392575
28,186,15,72,13,0.847059,0.925373,0.72093,0.925373,0.27907,0.810458,0.902098,1.025801,0.397048
29,185,16,72,13,0.847059,0.920398,0.719844,0.920398,0.280156,0.80786,0.898601,1.024256,0.402851
30,185,16,71,14,0.835294,0.920398,0.722656,0.920398,0.277344,0.809628,0.895105,1.028257,0.404933
31,185,16,70,15,0.823529,0.920398,0.72549,0.920398,0.27451,0.811404,0.891608,1.03229,0.414014
32,185,16,69,16,0.811765,0.920398,0.728346,0.920398,0.271654,0.813187,0.888112,1.036354,0.430168
33,185,16,68,17,0.8,0.920398,0.731225,0.920398,0.268775,0.814978,0.884615,1.04045,0.439426
34,184,17,68,17,0.8,0.915423,0.730159,0.915423,0.269841,0.812362,0.881119,1.038932,0.441792
35,184,17,67,18,0.788235,0.915423,0.733068,0.915423,0.266932,0.814159,0.877622,1.043071,0.444447
36,183,18,67,18,0.788235,0.910448,0.732,0.910448,0.268,0.81153,0.874126,1.041552,0.448539
37,183,18,66,19,0.776471,0.910448,0.73494,0.910448,0.26506,0.813333,0.870629,1.045735,0.451896
38,183,18,65,20,0.764706,0.910448,0.737903,0.910448,0.262097,0.815145,0.867133,1.049952,0.453973
39,182,19,65,20,0.764706,0.905473,0.736842,0.905473,0.263158,0.8125,0.863636,1.048442,0.455303
40,181,20,65,20,0.764706,0.900498,0.735772,0.900498,0.264228,0.809843,0.86014,1.04692,0.463188
41,180,21,65,20,0.764706,0.895522,0.734694,0.895522,0.265306,0.807175,0.856643,1.045385,0.467112
42,179,22,65,20,0.764706,0.890547,0.733607,0.890547,0.266393,0.804494,0.853147,1.043838,0.467581
43,178,23,65,20,0.764706,0.885572,0.73251,0.885572,0.26749,0.801802,0.84965,1.042278,0.470058
44,178,23,64,21,0.752941,0.885572,0.735537,0.885572,0.264463,0.803612,0.846154,1.046585,0.476508
45,177,24,64,21,0.752941,0.880597,0.73444,0.880597,0.26556,0.800905,0.842657,1.045024,0.476612
46,177,24,63,22,0.741176,0.880597,0.7375,0.880597,0.2625,0.802721,0.839161,1.049378,0.477006
47,177,24,62,23,0.729412,0.880597,0.740586,0.880597,0.259414,0.804545,0.835664,1.053769,0.484785
48,176,25,62,23,0.729412,0.875622,0.739496,0.875622,0.260504,0.801822,0.832168,1.052218,0.496505
49,175,26,62,23,0.729412,0.870647,0.738397,0.870647,0.261603,0.799087,0.828671,1.050654,0.497166
50,175,26,61,24,0.717647,0.870647,0.741525,0.870647,0.258475,0.800915,0.825175,1.055106,0.51061
51,174,27,61,24,0.717647,0.865672,0.740426,0.865672,0.259574,0.798165,0.821678,1.053541,0.512852
52,173,28,61,24,0.717647,0.860697,0.739316,0.860697,0.260684,0.795402,0.818182,1.051962,0.514655
53,172,29,61,24,0.717647,0.855721,0.738197,0.855721,0.261803,0.792627,0.814685,1.05037,0.516258
54,171,30,61,24,0.717647,0.850746,0.737069,0.850746,0.262931,0.789838,0.811189,1.048765,0.518355
55,170,31,61,24,0.717647,0.845771,0.735931,0.845771,0.264069,0.787037,0.807692,1.047145,0.518679
56,169,32,61,24,0.717647,0.840796,0.734783,0.840796,0.265217,0.784223,0.804196,1.045512,0.520711
57,168,33,61,24,0.717647,0.835821,0.733624,0.835821,0.266376,0.781395,0.800699,1.043864,0.530203
58,168,33,60,25,0.705882,0.835821,0.736842,0.835821,0.263158,0.783217,0.797203,1.048442,0.538739
59,168,33,59,26,0.694118,0.835821,0.740088,0.835821,0.259912,0.785047,0.793706,1.053061,0.546276
60,168,33,58,27,0.682353,0.835821,0.743363,0.835821,0.256637,0.786885,0.79021,1.05772,0.548611
61,167,34,58,27,0.682353,0.830846,0.742222,0.830846,0.257778,0.784038,0.786713,1.056097,0.554863
62,166,35,58,27,0.682353,0.825871,0.741071,0.825871,0.258929,0.781176,0.783217,1.05446,0.557747
63,166,35,57,28,0.670588,0.825871,0.744395,0.825871,0.255605,0.783019,0.77972,1.059188,0.568466
64,165,36,57,28,0.670588,0.820896,0.743243,0.820896,0.256757,0.780142,0.776224,1.05755,0.568639
65,165,36,56,29,0.658824,0.820896,0.746606,0.820896,0.253394,0.781991,0.772727,1.062335,0.574531
66,164,37,56,29,0.658824,0.81592,0.745455,0.81592,0.254545,0.779097,0.769231,1.060697,0.575
67,163,38,56,29,0.658824,0.810945,0.744292,0.810945,0.255708,0.77619,0.765734,1.059043,0.577258
68,162,39,56,29,0.658824,0.80597,0.743119,0.80597,0.256881,0.77327,0.762238,1.057374,0.582984
69,162,39,55,30,0.647059,0.80597,0.746544,0.80597,0.253456,0.77512,0.758741,1.062246,0.585894
70,162,39,54,31,0.635294,0.80597,0.75,0.80597,0.25,0.776978,0.755245,1.067164,0.587918
71,162,39,53,32,0.623529,0.80597,0.753488,0.80597,0.246512,0.778846,0.751748,1.072128,0.588893
72,161,40,53,32,0.623529,0.800995,0.752336,0.800995,0.247664,0.775904,0.748252,1.070489,0.590965
73,160,41,53,32,0.623529,0.79602,0.751174,0.79602,0.248826,0.772947,0.744755,1.068834,0.591644
74,159,42,53,32,0.623529,0.791045,0.75,0.791045,0.25,0.769976,0.741259,1.067164,0.592618
75,158,43,53,32,0.623529,0.78607,0.748815,0.78607,0.251185,0.76699,0.737762,1.065478,0.594485
76,157,44,53,32,0.623529,0.781095,0.747619,0.781095,0.252381,0.76399,0.734266,1.063776,0.594752
77,156,45,53,32,0.623529,0.776119,0.746411,0.776119,0.253589,0.760976,0.730769,1.062058,0.605197
78,156,45,52,33,0.611765,0.776119,0.75,0.776119,0.25,0.762836,0.727273,1.067164,0.607261
79,155,46,52,33,0.611765,0.771144,0.748792,0.771144,0.251208,0.759804,0.723776,1.065446,0.609097
80,154,47,52,33,0.611765,0.766169,0.747573,0.766169,0.252427,0.756757,0.72028,1.063711,0.611236
81,153,48,52,33,0.611765,0.761194,0.746341,0.761194,0.253659,0.753695,0.716783,1.061959,0.612381
82,152,49,52,33,0.611765,0.756219,0.745098,0.756219,0.254902,0.750617,0.713287,1.060189,0.612384
83,152,49,51,34,0.6,0.756219,0.748768,0.756219,0.251232,0.752475,0.70979,1.065412,0.613614
84,151,50,51,34,0.6,0.751244,0.747525,0.751244,0.252475,0.74938,0.706294,1.063642,0.622182
85,150,51,51,34,0.6,0.746269,0.746269,0.746269,0.253731,0.746269,0.702797,1.061855,0.622914
86,149,52,51,34,0.6,0.741294,0.745,0.741294,0.255,0.743142,0.699301,1.06005,0.62332
87,148,53,51,34,0.6,0.736318,0.743719,0.736318,0.256281,0.74,0.695804,1.058226,0.623362
88,148,53,50,35,0.588235,0.736318,0.747475,0.736318,0.252525,0.741855,0.692308,1.063571,0.623544
89,147,54,50,35,0.588235,0.731343,0.746193,0.731343,0.253807,0.738693,0.688811,1.061747,0.623711
90,146,55,50,35,0.588235,0.726368,0.744898,0.726368,0.255102,0.735516,0.685315,1.059905,0.623946
91,145,56,50,35,0.588235,0.721393,0.74359,0.721393,0.25641,0.732323,0.681818,1.058043,0.624088
92,144,57,50,35,0.588235,0.716418,0.742268,0.716418,0.257732,0.729114,0.678322,1.056162,0.624495
93,144,57,49,36,0.576471,0.716418,0.746114,0.716418,0.253886,0.730964,0.674825,1.061635,0.624643
94,143,58,49,36,0.576471,0.711443,0.744792,0.711443,0.255208,0.727735,0.671329,1.059753,0.625392
95,142,59,49,36,0.576471,0.706468,0.743455,0.706468,0.256545,0.72449,0.667832,1.057852,0.626401
96,141,60,49,36,0.576471,0.701493,0.742105,0.701493,0.257895,0.721228,0.664336,1.055931,0.630846
97,140,61,49,36,0.576471,0.696517,0.740741,0.696517,0.259259,0.717949,0.660839,1.053989,0.631547
98,139,62,49,36,0.576471,0.691542,0.739362,0.691542,0.260638,0.714653,0.657343,1.052027,0.633798
99,139,62,48,37,0.564706,0.691542,0.743316,0.691542,0.256684,0.716495,0.653846,1.057653,0.633827
100,138,63,48,37,0.564706,0.686567,0.741935,0.686567,0.258065,0.713178,0.65035,1.055689,0.637654
101,137,64,48,37,0.564706,0.681592,0.740541,0.681592,0.259459,0.709845,0.646853,1.053704,0.642175
102,137,64,47,38,0.552941,0.681592,0.744565,0.681592,0.255435,0.711688,0.643357,1.059431,0.642771
103,137,64,46,39,0.541176,0.681592,0.748634,0.681592,0.251366,0.713542,0.63986,1.06522,0.645023
104,136,65,46,39,0.541176,0.676617,0.747253,0.676617,0.252747,0.710183,0.636364,1.063255,0.651058
105,135,66,46,39,0.541176,0.671642,0.745856,0.671642,0.254144,0.706806,0.632867,1.061268,0.652888
106,134,67,46,39,0.541176,0.666667,0.744444,0.666667,0.255556,0.703412,0.629371,1.059259,0.654216
107,133,68,46,39,0.541176,0.661692,0.743017,0.661692,0.256983,0.7,0.625874,1.057228,0.65908
108,133,68,45,40,0.529412,0.661692,0.747191,0.661692,0.252809,0.701847,0.622378,1.063167,0.667633
109,133,68,44,41,0.517647,0.661692,0.751412,0.661692,0.248588,0.703704,0.618881,1.069174,0.668073
110,133,68,43,42,0.505882,0.661692,0.755682,0.661692,0.244318,0.70557,0.615385,1.075249,0.668663
111,133,68,42,43,0.494118,0.661692,0.76,0.661692,0.24,0.707447,0.611888,1.081393,0.669472
112,133,68,41,44,0.482353,0.661692,0.764368,0.661692,0.235632,0.709333,0.608392,1.087608,0.671457
113,132,69,41,44,0.482353,0.656716,0.763006,0.656716,0.236994,0.705882,0.604895,1.08567,0.678206
114,132,69,40,45,0.470588,0.656716,0.767442,0.656716,0.232558,0.707775,0.601399,1.091982,0.683009
115,132,69,39,46,0.458824,0.656716,0.77193,0.656716,0.22807,0.709677,0.597902,1.098368,0.68368
116,131,70,39,46,0.458824,0.651741,0.770588,0.651741,0.229412,0.706199,0.594406,1.096459,0.688745
117,130,71,39,46,0.458824,0.646766,0.769231,0.646766,0.230769,0.702703,0.590909,1.094527,0.68964
118,130,71,38,47,0.447059,0.646766,0.77381,0.646766,0.22619,0.704607,0.587413,1.101042,0.69129
119,130,71,37,48,0.435294,0.646766,0.778443,0.646766,0.221557,0.706522,0.583916,1.107635,0.69146
120,129,72,37,48,0.435294,0.641791,0.777108,0.641791,0.222892,0.702997,0.58042,1.105736,0.697208
121,129,72,36,49,0.423529,0.641791,0.781818,0.641791,0.218182,0.704918,0.576923,1.112438,0.697808
122,129,72,35,50,0.411765,0.641791,0.786585,0.641791,0.213415,0.706849,0.573427,1.119221,0.70339
123,128,73,35,50,0.411765,0.636816,0.785276,0.636816,0.214724,0.703297,0.56993,1.117358,0.704489
124,127,74,35,50,0.411765,0.631841,0.783951,0.631841,0.216049,0.699725,0.566434,1.115472,0.704597
125,126,75,35,50,0.411765,0.626866,0.782609,0.626866,0.217391,0.696133,0.562937,1.113563,0.709764
126,125,76,35,50,0.411765,0.621891,0.78125,0.621891,0.21875,0.692521,0.559441,1.111629,0.71193
127,125,76,34,51,0.4,0.621891,0.786164,0.621891,0.213836,0.694444,0.555944,1.118621,0.711961
128,124,77,34,51,0.4,0.616915,0.78481,0.616915,0.21519,0.690808,0.552448,1.116695,0.71237
129,124,77,33,52,0.388235,0.616915,0.789809,0.616915,0.210191,0.692737,0.548951,1.123808,0.712818
130,123,78,33,52,0.388235,0.61194,0.788462,0.61194,0.211538,0.689076,0.545455,1.121891,0.713274
131,123,78,32,53,0.376471,0.61194,0.793548,0.61194,0.206452,0.691011,0.541958,1.129129,0.718196
132,122,79,32,53,0.376471,0.606965,0.792208,0.606965,0.207792,0.687324,0.538462,1.127221,0.718465
133,121,80,32,53,0.376471,0.60199,0.79085,0.60199,0.20915,0.683616,0.534965,1.125289,0.718531
134,121,80,31,54,0.364706,0.60199,0.796053,0.60199,0.203947,0.685552,0.531469,1.132692,0.718972
