Index,Arrival_Time,Creation_Time,x,y,z
100862,1425047341057,1733750449000,-0.20051439,-0.7428011,9.348161
100863,1425047341067,1733760200000,-0.23343466,-0.75357497,9.36073
100864,1425047341077,1733770201000,-0.21068975,-0.7398083,9.365519
100865,1425047341087,1733780183000,-0.19812019,-0.7398083,9.376891
100866,1425047341097,1733790201000,-0.19931729,-0.74639237,9.353547
100867,1425047341107,1733799945000,-0.2112883,-0.74758947,9.3822775
100868,1425047341117,1733810205000,-0.18315643,-0.7332243,9.361329
100869,1425047341127,1733819839000,-0.17717093,-0.7092823,9.374496
100870,1425047341137,1733829880000,-0.16400282,-0.7254431,9.363723
100871,1425047341147,1733839731000,-0.1592144,-0.7104794,9.330204
100872,1425047341157,1733849778000,-0.17118542,-0.7386112,9.39365
100873,1425047341167,1733859640000,-0.16819267,-0.7553706,9.355343
100874,1425047341177,1733869805000,-0.18914193,-0.7380127,9.390059
100875,1425047341186,1733879530000,-0.18195933,-0.7278373,9.387066
100876,1425047341196,1733889557000,-0.19632454,-0.7541735,9.375095
100877,1425047341206,1733899418000,-0.19931729,-0.7392098,9.314642
100878,1425047341216,1733909466000,-0.19752164,-0.7290344,9.384672
100879,1425047341226,1733919316000,-0.22924481,-0.7224504,9.353547
100880,1425047341236,1733929483000,-0.21188685,-0.7332243,9.426571
100881,1425047341246,1733939207000,-0.19393034,-0.7278373,9.327211
100882,1425047341256,1733949247000,-0.20590134,-0.7428011,9.324219
100883,1425047341266,1733959112000,-0.18016368,-0.7433996,9.387665
100884,1425047341276,1733969144000,-0.17058687,-0.7356185,9.39365
100885,1425047341286,1733978997000,-0.1592144,-0.74639237,9.366715
100886,1425047341296,1733989177000,-0.15741876,-0.75357497,9.355942
100887,1425047341306,1733998889000,-0.16101007,-0.7350199,9.353547
100888,1425047341316,1734008951000,-0.18136078,-0.7649474,9.385271
100889,1425047341326,1734018794000,-0.17178397,-0.7212533,9.377489
100890,1425047341336,1734028827000,-0.19093758,-0.7374141,9.332599
100891,1425047341346,1734038680000,-0.19572599,-0.7392098,9.327211
100892,1425047341356,1734048859000,-0.19572599,-0.7278373,9.378088
100893,1425047341365,1734058575000,-0.21667525,-0.7433996,9.364322
100894,1425047341375,1734068618000,-0.22565351,-0.7272388,9.348161
100895,1425047341385,1734078478000,-0.20051439,-0.7344214,9.357139
100896,1425047341396,1734088931000,-0.18674773,-0.7404069,9.364322
100897,1425047341405,1734098374000,-0.18495208,-0.75836337,9.3421755
100898,1425047341415,1734108539000,-0.17597382,-0.74758947,9.361927
100899,1425047341425,1734118265000,-0.18076223,-0.75357497,9.350554
100900,1425047341435,1734128309000,-0.17118542,-0.7326257,9.351153
100901,1425047341445,1734138162000,-0.19153613,-0.74998367,9.344569
100902,1425047341455,1734148200000,-0.18435353,-0.748188,9.375694
100903,1425047341465,1734158057000,-0.18255788,-0.741604,9.365519
100904,1425047341475,1734168230000,-0.19393034,-0.74399817,9.354146
100905,1425047341485,1734177951000,-0.16819267,-0.7356185,9.34397
100906,1425047341495,1734187984000,-0.20231004,-0.7410054,9.350554
100907,1425047341505,1734197839000,-0.2088941,-0.76075757,9.365519
100908,1425047341515,1734207883000,-0.22026655,-0.7338228,9.339182
100909,1425047341525,1734217739000,-0.20590134,-0.7356185,9.368511
100910,1425047341535,1734227906000,-0.19512744,-0.7517793,9.376292
100911,1425047341545,1734237634000,-0.19393034,-0.7308301,9.374496
100912,1425047341555,1734247679000,-0.19512744,-0.74878657,9.369708
100913,1425047341564,1734257533000,-0.19512744,-0.75836337,9.339182
100914,1425047341575,1734267565000,-0.19871874,-0.7433996,9.354146
100915,1425047341584,1734277424000,-0.17118542,-0.75237787,9.332
100916,1425047341595,1734287593000,-0.18255788,-0.7565677,9.354146
100917,1425047341604,1734297320000,-0.15682021,-0.724246,9.360131
100918,1425047341614,1734307356000,-0.18136078,-0.7469909,9.367912
100919,1425047341624,1734317213000,-0.18674773,-0.7194576,9.363124
100920,1425047341634,1734327249000,-0.18195933,-0.7284359,9.349358
100921,1425047341644,1734337107000,-0.207697,-0.7433996,9.328408
100922,1425047341654,1734347288000,-0.20410569,-0.7380127,9.335591
100923,1425047341664,1734357010000,-0.18734628,-0.7302315,9.359533
100924,1425047341674,1734367036000,-0.21068975,-0.7493851,9.329007
100925,1425047341684,1734376901000,-0.19812019,-0.7553706,9.372701
100926,1425047341694,1734386940000,-0.19692309,-0.7410054,9.368511
100927,1425047341704,1734396794000,-0.17956513,-0.7392098,9.360131
100928,1425047341714,1734406962000,-0.18674773,-0.7338228,9.363723
100929,1425047341724,1734416683000,-0.18614918,-0.7392098,9.359533
100930,1425047341734,1734426725000,-0.16579847,-0.7386112,9.346964
100931,1425047341744,1734436575000,-0.15861586,-0.717662,9.365519
100932,1425047341754,1734446620000,-0.16400282,-0.75716627,9.360131
