Creation_Time,Sensor_Time,Arrival_Time,x,y,z
1560991054000,1560991,1398347034631,0.079008654,0.12210429,9.419987
1561001064000,1561001,1398347034642,0.088585466,0.12330139,9.416395
1561011043000,1561011,1398347034651,0.092176765,0.10534488,9.417592
1561021053000,1561021,1398347034661,0.090979666,0.12808979,9.414001
1561031063000,1561031,1398347034671,0.090979666,0.12808979,9.414001
1561041073000,1561041,1398347034681,0.092176765,0.12330139,9.396045
1561051021000,1561051,1398347034691,0.09816227,0.1364695,9.408015
1561061062000,1561061,1398347034701,0.10295067,0.1328782,9.374496
1561071010000,1561071,1398347034711,0.089782566,0.12689269,9.375694
1561081112000,1561081,1398347034722,0.06703765,0.11731588,9.369708
1561090999000,1561091,1398347034731,0.095768064,0.1352724,9.399636
1561101040000,1561101,1398347034741,0.10295067,0.1328782,9.396045
1561111080000,1561111,1398347034751,0.08379706,0.11252748,9.400833
1561121059000,1561121,1398347034761,0.090979666,0.11971009,9.380483
1561131038000,1561131,1398347034772,0.08619126,0.11971009,9.408015
1561141079000,1561141,1398347034781,0.093373865,0.1388637,9.394848
1561151943000,1561152,1398347034792,0.08259996,0.11492168,9.39365
1561161037000,1561161,1398347034801,0.08259996,0.11492168,9.39365
1561171016000,1561171,1398347034811,0.090979666,0.11731588,9.382876
1561181087000,1561181,1398347034822,0.094570965,0.10654198,9.388862
1561191066000,1561191,1398347034831,0.094570965,0.11252748,9.428367
1561201137000,1561201,1398347034841,0.076614454,0.1340753,9.425972
1561210994000,1561211,1398347034851,0.093373865,0.1388637,9.405622
1561221157000,1561221,1398347034862,0.10295067,0.12449849,9.399636
1561231044000,1561231,1398347034872,0.11252748,0.12928689,9.404425
1561241115000,1561241,1398347034881,0.093373865,0.1328782,9.414001
1561251125000,1561251,1398347034892,0.079008654,0.12928689,9.416395
1561261104000,1561261,1398347034901,0.08140286,0.1388637,9.396045
1561271083000,1561271,1398347034911,0.089782566,0.1412579,9.40203
1561281093000,1561281,1398347034922,0.08020575,0.12689269,9.408015
1561291042000,1561291,1398347034931,0.08020575,0.12689269,9.408015
1561301113000,1561301,1398347034942,0.08379706,0.11372458,9.396045
1561311031000,1561311,1398347034952,0.08379706,0.1364695,9.403227
