@relation supermarket
@attribute 'department1' {X, t}
@attribute 'department2' {X, t}
@attribute 'department3' {X, t}
@attribute 'department4' {X, t}
@attribute 'department5' {X, t}
@attribute 'department6' {X, t}
@attribute 'department7' {X, t}
@attribute 'department8' {X, t}
@attribute 'department9' {X, t}
@attribute 'grocery misc' {X, t}
@attribute 'department11' {X, t}
@attribute 'baby needs' {X, t}
@attribute 'bread and cake' {X, t}
@attribute 'baking needs' {X, t}
@attribute 'coupons' {X, t}
@attribute 'juice-sat-cord-ms' {X, t}
@attribute 'tea' {X, t}
@attribute 'biscuits' {X, t}
@attribute 'canned fish-meat' {X, t}
@attribute 'canned fruit' {X, t}
@attribute 'canned vegetables' {X, t}
@attribute 'breakfast food' {X, t}
@attribute 'cigs-tobacco pkts' {X, t}
@attribute 'cigarette cartons' {X, t}
@attribute 'cleaners-polishers' {X, t}
@attribute 'coffee' {X, t}
@attribute 'sauces-gravy-pkle' {X, t}
@attribute 'confectionary' {X, t}
@attribute 'puddings-deserts' {X, t}
@attribute 'dishcloths-scour' {X, t}
@attribute 'deod-disinfectant' {X, t}
@attribute 'frozen foods' {X, t}
@attribute 'razor blades' {X, t}
@attribute 'fuels-garden aids' {X, t}
@attribute 'spices' {X, t}
@attribute 'jams-spreads' {X, t}
@attribute 'insecticides' {X, t}
@attribute 'pet foods' {X, t}
@attribute 'laundry needs' {X, t}
@attribute 'party snack foods' {X, t}
@attribute 'tissues-paper prd' {X, t}
@attribute 'wrapping' {X, t}
@attribute 'dried vegetables' {X, t}
@attribute 'pkt-canned soup' {X, t}
@attribute 'soft drinks' {X, t}
@attribute 'health food other' {X, t}
@attribute 'beverages hot' {X, t}
@attribute 'health&beauty misc' {X, t}
@attribute 'deodorants-soap' {X, t}
@attribute 'mens toiletries' {X, t}
@attribute 'medicines' {X, t}
@attribute 'haircare' {X, t}
@attribute 'dental needs' {X, t}
@attribute 'lotions-creams' {X, t}
@attribute 'sanitary pads' {X, t}
@attribute 'cough-cold-pain' {X, t}
@attribute 'department57' {X, t}
@attribute 'meat misc' {X, t}
@attribute 'cheese' {X, t}
@attribute 'chickens' {X, t}
@attribute 'milk-cream' {X, t}
@attribute 'cold-meats' {X, t}
@attribute 'deli gourmet' {X, t}
@attribute 'margarine' {X, t}
@attribute 'salads' {X, t}
@attribute 'small goods' {X, t}
@attribute 'dairy foods' {X, t}
@attribute 'fruit drinks' {X, t}
@attribute 'delicatessen misc' {X, t}
@attribute 'department70' {X, t}
@attribute 'beef' {X, t}
@attribute 'hogget' {X, t}
@attribute 'lamb' {X, t}
@attribute 'pet food' {X, t}
@attribute 'pork' {X, t}
@attribute 'poultry' {X, t}
@attribute 'veal' {X, t}
@attribute 'gourmet meat' {X, t}
@attribute 'department79' {X, t}
@attribute 'department80' {X, t}
@attribute 'department81' {X, t}
@attribute 'produce misc' {X, t}
@attribute 'fruit' {X, t}
@attribute 'plants' {X, t}
@attribute 'potatoes' {X, t}
@attribute 'vegetables' {X, t}
@attribute 'flowers' {X, t}
@attribute 'department88' {X, t}
@attribute 'department89' {X, t}
@attribute 'variety misc' {X, t}
@attribute 'brushware' {X, t}
@attribute 'electrical' {X, t}
@attribute 'haberdashery' {X, t}
@attribute 'kitchen' {X, t}
@attribute 'manchester' {X, t}
@attribute 'pantyhose' {X, t}
@attribute 'plasticware' {X, t}
@attribute 'department98' {X, t}
@attribute 'stationary' {X, t}
@attribute 'department100' {X, t}
@attribute 'department101' {X, t}
@attribute 'department102' {X, t}
@attribute 'prepared meals' {X, t}
@attribute 'preserving needs' {X, t}
@attribute 'condiments' {X, t}
@attribute 'cooking oils' {X, t}
@attribute 'department107' {X, t}
@attribute 'department108' {X, t}
@attribute 'department109' {X, t}
@attribute 'department110' {X, t}
@attribute 'department111' {X, t}
@attribute 'department112' {X, t}
@attribute 'department113' {X, t}
@attribute 'department114' {X, t}
@attribute 'health food bulk' {X, t}
@attribute 'department116' {X, t}
@attribute 'department117' {X, t}
@attribute 'department118' {X, t}
@attribute 'department119' {X, t}
@attribute 'department120' {X, t}
@attribute 'bake off products' {X, t}
@attribute 'department122' {X, t}
@attribute 'department123' {X, t}
@attribute 'department124' {X, t}
@attribute 'department125' {X, t}
@attribute 'department126' {X, t}
@attribute 'department127' {X, t}
@attribute 'department128' {X, t}
@attribute 'department129' {X, t}
@attribute 'department130' {X, t}
@attribute 'small goods2' {X, t}
@attribute 'offal' {X, t}
@attribute 'mutton' {X, t}
@attribute 'trim pork' {X, t}
@attribute 'trim lamb' {X, t}
@attribute 'imported cheese' {X, t}
@attribute 'department137' {X, t}
@attribute 'department138' {X, t}
@attribute 'department139' {X, t}
@attribute 'department140' {X, t}
@attribute 'department141' {X, t}
@attribute 'department142' {X, t}
@attribute 'department143' {X, t}
@attribute 'department144' {X, t}
@attribute 'department145' {X, t}
@attribute 'department146' {X, t}
@attribute 'department147' {X, t}
@attribute 'department148' {X, t}
@attribute 'department149' {X, t}
@attribute 'department150' {X, t}
@attribute 'department151' {X, t}
@attribute 'department152' {X, t}
@attribute 'department153' {X, t}
@attribute 'department154' {X, t}
@attribute 'department155' {X, t}
@attribute 'department156' {X, t}
@attribute 'department157' {X, t}
@attribute 'department158' {X, t}
@attribute 'department159' {X, t}
@attribute 'department160' {X, t}
@attribute 'department161' {X, t}
@attribute 'department162' {X, t}
@attribute 'department163' {X, t}
@attribute 'department164' {X, t}
@attribute 'department165' {X, t}
@attribute 'department166' {X, t}
@attribute 'department167' {X, t}
@attribute 'department168' {X, t}
@attribute 'department169' {X, t}
@attribute 'department170' {X, t}
@attribute 'department171' {X, t}
@attribute 'department172' {X, t}
@attribute 'department173' {X, t}
@attribute 'department174' {X, t}
@attribute 'department175' {X, t}
@attribute 'department176' {X, t}
@attribute 'department177' {X, t}
@attribute 'department178' {X, t}
@attribute 'department179' {X, t}
@attribute 'casks white wine' {X, t}
@attribute 'casks red wine' {X, t}
@attribute '750ml white nz' {X, t}
@attribute '750ml red nz' {X, t}
@attribute '750ml white imp' {X, t}
@attribute '750ml red imp' {X, t}
@attribute 'sparkling nz' {X, t}
@attribute 'sparkling imp' {X, t}
@attribute 'brew kits/accesry' {X, t}
@attribute 'department189' {X, t}
@attribute 'port and sherry' {X, t}
@attribute 'ctrled label wine' {X, t}
@attribute 'department192' {X, t}
@attribute 'department193' {X, t}
@attribute 'department194' {X, t}
@attribute 'department195' {X, t}
@attribute 'department196' {X, t}
@attribute 'department197' {X, t}
@attribute 'department198' {X, t}
@attribute 'department199' {X, t}
@attribute 'non host support' {X, t}
@attribute 'department201' {X, t}
@attribute 'department202' {X, t}
@attribute 'department203' {X, t}
@attribute 'department204' {X, t}
@attribute 'department205' {X, t}
@attribute 'department206' {X, t}
@attribute 'department207' {X, t}
@attribute 'department208' {X, t}
@attribute 'department209' {X, t}
@attribute 'department210' {X, t}
@attribute 'department211' {X, t}
@attribute 'department212' {X, t}
@attribute 'department213' {X, t}
@attribute 'department214' {X, t}
@attribute 'department215' {X, t}
@attribute 'department216' {X, t}
@attribute 'total' { low, high} % low < 100
@data
X,X,X,X,X,X,X,X,X,X,X,t,t,t,X,t,X,t,X,X,t,X,X,X,t,t,t,t,X,t,X,t,t,X,X,X,X,X,X,t,t,t,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,t,X,t,X,X,t,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,high
t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,t,t,X,X,X,X,X,t,X,X,X,t,t,X,X,X,X,X,t,t,X,t,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
X,X,X,X,X,X,X,X,X,X,X,X,t,t,X,t,X,t,X,t,X,X,X,X,X,X,t,X,t,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,t,X,X,X,t,X,t,X,X,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
t,X,X,X,X,X,X,X,X,X,X,X,t,t,X,t,X,t,X,X,t,t,X,X,t,X,X,X,X,X,X,t,X,X,X,t,X,t,X,t,t,X,X,X,X,X,X,X,t,t,X,X,X,X,X,X,X,X,t,X,X,X,X,t,X,X,t,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
X,X,X,X,X,X,X,X,X,X,X,X,t,t,X,t,t,X,X,X,X,X,X,X,t,t,t,X,X,X,X,t,X,X,X,t,X,X,t,X,X,t,X,X,X,X,X,X,t,X,X,t,t,X,X,X,X,t,X,X,t,X,X,t,X,X,X,X,X,X,t,X,X,X,X,t,X,X,X,X,X,X,X,X,t,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
X,X,t,X,X,X,t,X,X,X,X,X,t,t,X,t,t,t,X,X,t,t,X,X,X,X,X,t,X,X,X,t,X,X,t,X,X,X,X,t,t,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,t,t,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,high
t,X,X,X,X,X,X,X,X,X,X,X,t,t,X,t,t,t,X,t,t,t,X,X,t,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,t,X,X,X,X,X,X,X,X,X,t,X,X,X,t,X,t,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
X,X,X,X,X,X,X,X,X,X,X,t,t,t,X,t,X,t,X,X,t,X,X,X,X,t,t,X,X,X,X,t,X,X,X,X,X,t,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
t,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,t,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,low
X,X,X,X,X,X,X,X,X,X,X,X,t,t,X,t,X,t,X,t,t,X,X,X,X,X,t,X,t,X,X,X,X,X,X,t,X,t,X,t,X,t,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,t,X,X,t,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,t,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,high
