@relation Results

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
50,0,100,0,1,1,0.333333,1,0.666667,0.5,1,1,0
50,0,99,1,0.99,1,0.33557,1,0.66443,0.502513,0.993333,1.006711,0
50,0,98,2,0.98,1,0.337838,1,0.662162,0.505051,0.986667,1.013514,0
50,0,97,3,0.97,1,0.340136,1,0.659864,0.507614,0.98,1.020408,0
50,0,96,4,0.96,1,0.342466,1,0.657534,0.510204,0.973333,1.027397,0
50,0,95,5,0.95,1,0.344828,1,0.655172,0.512821,0.966667,1.034483,0
50,0,94,6,0.94,1,0.347222,1,0.652778,0.515464,0.96,1.041667,0
50,0,93,7,0.93,1,0.34965,1,0.65035,0.518135,0.953333,1.048951,0
50,0,92,8,0.92,1,0.352113,1,0.647887,0.520833,0.946667,1.056338,0
50,0,91,9,0.91,1,0.35461,1,0.64539,0.52356,0.94,1.06383,0
50,0,90,10,0.9,1,0.357143,1,0.642857,0.526316,0.933333,1.071429,0
50,0,89,11,0.89,1,0.359712,1,0.640288,0.529101,0.926667,1.079137,0
50,0,88,12,0.88,1,0.362319,1,0.637681,0.531915,0.92,1.086957,0
50,0,87,13,0.87,1,0.364964,1,0.635036,0.534759,0.913333,1.094891,0
50,0,86,14,0.86,1,0.367647,1,0.632353,0.537634,0.906667,1.102941,0
50,0,85,15,0.85,1,0.37037,1,0.62963,0.540541,0.9,1.111111,0
50,0,84,16,0.84,1,0.373134,1,0.626866,0.543478,0.893333,1.119403,0
50,0,83,17,0.83,1,0.37594,1,0.62406,0.546448,0.886667,1.12782,0
50,0,82,18,0.82,1,0.378788,1,0.621212,0.549451,0.88,1.136364,0
50,0,81,19,0.81,1,0.381679,1,0.618321,0.552486,0.873333,1.145038,0
50,0,80,20,0.8,1,0.384615,1,0.615385,0.555556,0.866667,1.153846,0
50,0,79,21,0.79,1,0.387597,1,0.612403,0.558659,0.86,1.162791,0
50,0,78,22,0.78,1,0.390625,1,0.609375,0.561798,0.853333,1.171875,0
50,0,77,23,0.77,1,0.393701,1,0.606299,0.564972,0.846667,1.181102,0
50,0,76,24,0.76,1,0.396825,1,0.603175,0.568182,0.84,1.190476,0
