@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,12,0,844,0,1,1,0.014019,1,0.985981,0.02765,1,1,0
1,12,0,843,1,0.998815,1,0.014035,1,0.985965,0.027682,0.998832,1.00117,0
2,12,0,842,2,0.99763,1,0.014052,1,0.985948,0.027714,0.997664,1.002342,0
3,12,0,841,3,0.996445,1,0.014068,1,0.985932,0.027746,0.996495,1.003517,0
4,12,0,840,4,0.995261,1,0.014085,1,0.985915,0.027778,0.995327,1.004695,0
5,12,0,839,5,0.994076,1,0.014101,1,0.985899,0.02781,0.994159,1.005875,0
6,12,0,838,6,0.992891,1,0.014118,1,0.985882,0.027842,0.992991,1.007059,0
7,12,0,837,7,0.991706,1,0.014134,1,0.985866,0.027875,0.991822,1.008245,0
8,12,0,836,8,0.990521,1,0.014151,1,0.985849,0.027907,0.990654,1.009434,0
9,12,0,835,9,0.989336,1,0.014168,1,0.985832,0.027939,0.989486,1.010626,0
10,12,0,834,10,0.988152,1,0.014184,1,0.985816,0.027972,0.988318,1.01182,0
11,12,0,833,11,0.986967,1,0.014201,1,0.985799,0.028005,0.98715,1.013018,0
12,12,0,832,12,0.985782,1,0.014218,1,0.985782,0.028037,0.985981,1.014218,0
13,12,0,831,13,0.984597,1,0.014235,1,0.985765,0.02807,0.984813,1.015421,0
14,12,0,830,14,0.983412,1,0.014252,1,0.985748,0.028103,0.983645,1.016627,0
15,12,0,829,15,0.982227,1,0.014269,1,0.985731,0.028136,0.982477,1.017836,0
16,12,0,828,16,0.981043,1,0.014286,1,0.985714,0.028169,0.981308,1.019048,0
17,12,0,827,17,0.979858,1,0.014303,1,0.985697,0.028202,0.98014,1.020262,0
18,12,0,826,18,0.978673,1,0.01432,1,0.98568,0.028235,0.978972,1.02148,0
19,12,0,825,19,0.977488,1,0.014337,1,0.985663,0.028269,0.977804,1.0227,0
20,12,0,824,20,0.976303,1,0.014354,1,0.985646,0.028302,0.976636,1.023923,0
21,12,0,823,21,0.975118,1,0.014371,1,0.985629,0.028335,0.975467,1.02515,0
22,12,0,822,22,0.973934,1,0.014388,1,0.985612,0.028369,0.974299,1.026379,0
23,12,0,821,23,0.972749,1,0.014406,1,0.985594,0.028402,0.973131,1.027611,0
24,12,0,820,24,0.971564,1,0.014423,1,0.985577,0.028436,0.971963,1.028846,0
25,12,0,819,25,0.970379,1,0.01444,1,0.98556,0.02847,0.970794,1.030084,0
26,12,0,818,26,0.969194,1,0.014458,1,0.985542,0.028504,0.969626,1.031325,0
27,12,0,817,27,0.968009,1,0.014475,1,0.985525,0.028537,0.968458,1.032569,0
28,12,0,816,28,0.966825,1,0.014493,1,0.985507,0.028571,0.96729,1.033816,0
29,12,0,815,29,0.96564,1,0.01451,1,0.98549,0.028605,0.966121,1.035067,0
30,12,0,814,30,0.964455,1,0.014528,1,0.985472,0.02864,0.964953,1.03632,0
31,12,0,813,31,0.96327,1,0.014545,1,0.985455,0.028674,0.963785,1.037576,0
32,12,0,812,32,0.962085,1,0.014563,1,0.985437,0.028708,0.962617,1.038835,0
