TIMESTAMP,U10,V10,U100,V100,TARGETVAR
20120101 1:00,2.124600139,-2.681966369,2.864279592,-3.666075765,0
20120101 2:00,2.521694654,-1.796960091,3.344858672,-2.464761461,0.05487912
20120101 3:00,2.672209855,-0.82251622,3.508448017,-1.214092935,0.110234
20120101 4:00,2.457504348,-0.143642299,3.215232513,-0.355546415,0.16511606
20120101 5:00,2.245897683,0.389576113,2.957678353,0.332700922,0.15694013
20120101 6:00,1.986037616,0.796304215,2.655405999,0.882647967,0.16878113
20120101 7:00,1.319786507,1.440680778,1.946707522,1.941323146,0.11474485
20120101 8:00,-0.122060579,2.358906734,-0.235427168,4.323884652,0.0854243
20120101 9:00,-1.380190581,2.903624265,-3.048145009,6.041520047,0.15318109
20120101 10:00,-1.710881331,2.01393316,-4.213648336,4.877628176,0.13927263
20120101 11:00,-2.134980044,1.425774513,-5.470852265,3.721329261,0.08382671
20120101 12:00,-2.340389024,0.617854922,-6.095208831,1.564929409,0.14782445
20120101 13:00,-2.21422187,0.098265096,-5.785577787,0.098403957,0.13870876
20120101 14:00,-2.139406961,-0.226265599,-5.605006849,-0.861562778,0.22206559
20120101 15:00,-2.020322876,-0.455396195,-5.185561504,-1.845935447,0.24104877
20120101 16:00,-1.751608973,-1.251390773,-3.655519982,-4.639601352,0.24584155
20120101 17:00,-0.978669148,-2.614675228,-1.485272407,-7.574821673,0.23907527
20120101 18:00,-0.234061596,-3.575916406,0.028919628,-8.864539693,0.25345362
20120101 19:00,0.247587047,-3.91194622,1.005927274,-9.025076503,0.30203928
20120101 20:00,0.371540741,-3.726682635,1.245933787,-8.7061723,0.51602292
20120101 21:00,0.43130413,-3.920464086,1.17517715,-8.187681792,0.73545718
20120101 22:00,0.522941326,-4.344653814,1.142912123,-7.909996499,0.61892679
20120101 23:00,1.033807625,-4.925572275,1.676700194,-7.585668755,0.81543087
20120102 0:00,1.468088248,-5.200273454,2.254640406,-7.688173678,0.76045483
20120102 1:00,2.792536871,-5.818453425,4.176298938,-8.510670134,0.43924442
20120102 2:00,3.690428581,-5.504235074,5.44032012,-8.013328954,0.20580772
20120102 3:00,3.893923678,-5.205664206,5.714882098,-7.581300609,0.19001973
20120102 4:00,3.761368107,-5.021700568,5.649090832,-7.419089223,0.80349589
20120102 5:00,3.591518614,-4.586108508,5.799840899,-7.160514637,0.75500422
20120102 6:00,2.892257576,-3.52588589,5.290088095,-6.348387005,0.37675029
20120102 7:00,2.571205551,-3.199826202,5.1227607,-6.386932285,0.56780377
20120102 8:00,3.205607595,-0.550326921,7.329617355,-1.311803773,0.27422234
20120102 9:00,2.901175687,0.764061549,7.027599179,1.817858809,0.15468471
20120102 10:00,2.199887805,1.119724581,5.654271247,2.984924226,0.0952918
20120102 11:00,1.788438557,1.984988033,4.444126377,5.089924786,0.08749178
20120102 12:00,0.881223366,1.868689182,2.355901219,4.90844076,0.02395216
20120102 13:00,0.676106795,1.92874168,1.645148325,4.568492806,0.00195294
20120102 14:00,0.207500557,1.905059005,0.79297011,3.937313849,0.05948689
20120102 15:00,-0.987121055,1.68430264,-0.827981644,2.975823257,0.023867
20120102 16:00,-1.045899519,1.51218034,-0.978731711,2.513279899,0
20120102 17:00,-1.17845509,1.414489305,-1.011886365,2.550219126,0
20120102 18:00,-1.724081384,1.156517308,-1.658402117,2.62945109,0
20120102 19:00,-1.746782032,0.686247045,-1.841270756,2.091423226,0
20120102 20:00,-1.202777213,0.455340962,-2.494521047,2.091423226,0
20120102 21:00,-1.878932234,0.27095442,-3.803093796,1.525021753,0.03052462
20120102 22:00,-1.447619918,-0.495349282,-2.6613304,-0.480938852,0.05713749
20120102 23:00,-1.28912075,0.019325997,-1.841788797,-0.05961753,0.03364345
20120103 0:00,-0.819703774,0.437156051,-1.147095188,0.468238664,0.01061049
20120103 1:00,-1.849580064,-1.862143769,-2.350273653,-2.541779401,0.19161732
20120103 2:00,0.463846686,-1.697785765,0.72588207,-2.284869902,0.39272624
20120103 3:00,3.447000597,-1.315160332,4.586008378,-1.765584743,0.27948501
20120103 4:00,5.079848125,-1.653080388,6.996706167,-2.341171345,0.12921718
20120103 5:00,4.975978403,-1.635987156,7.145317268,-2.425896818,0.11765811
20120103 6:00,4.99613223,-1.424294046,7.38986718,-2.147669296,0.1873884
20120103 7:00,4.671733136,-1.035532581,7.240785791,-1.596680412,0.20909689
20120103 8:00,3.621796285,-0.652907148,6.806239408,-1.164853807,0.19039564
20120103 9:00,2.444347723,-0.253626771,5.994992103,-0.465185382,0.15083168
20120103 10:00,1.980034564,0.487079967,5.001743229,1.159903856,0.13288225
20120103 11:00,2.04979781,0.485326815,3.545730674,0.689267518,0.19218118
20120103 12:00,2.334276824,0.176333768,4.722862271,0.515990259,0.24039094
20120103 13:00,2.937341328,0.976209387,7.037621249,2.638500018,0.34197913
20120103 14:00,4.08029584,2.084201477,7.473578496,3.90500919,0.54534347
20120103 15:00,4.648866295,2.374786428,7.611843254,3.977709112,0.75989096
20120103 16:00,3.881858163,2.245053177,6.215087024,3.737744707,0.82830561
20120103 17:00,3.74116895,2.832797399,5.773486317,4.499180734,0.7145005
20120103 18:00,3.776050573,3.773363469,5.768313146,5.805046254,0.7531247
20120103 19:00,3.152832243,4.72926962,4.812687335,7.26560409,0.69692697
20120103 20:00,2.059099576,4.496538686,3.088610454,6.844163188,0.72314631
20120103 21:00,1.744777396,5.191225183,2.514388448,7.606692447,0.5959966
20120103 22:00,1.321159463,5.474797525,1.834351577,7.808393735,0.40907808
20120103 23:00,1.139775024,5.484439862,1.548886583,7.661354043,0.27892115
20120104 0:00,1.003736694,5.230232816,1.352306076,7.200556791,0.28239827
20120104 1:00,1.400525018,5.498354513,1.865545731,7.507147578,0.318861
20120104 2:00,0.992355582,5.596643637,1.308908959,7.608096667,0.27008739
20120104 3:00,0.555289195,5.284259392,0.722895541,7.153217641,0.2456536
