@relation taskTest

@attribute TIMESTAMP {'20131130 1:00','20131130 2:00','20131130 3:00','20131130 4:00','20131130 5:00','20131130 6:00','20131130 7:00','20131130 8:00','20131130 9:00','20131130 10:00','20131130 11:00','20131130 12:00','20131130 13:00','20131130 14:00','20131130 15:00','20131130 16:00','20131130 17:00','20131130 18:00','20131130 19:00','20131130 20:00','20131130 21:00','20131130 22:00','20131130 23:00','20131201 0:00'}
@attribute TARGETVAR {*unknown*}
@attribute U10 numeric
@attribute V10 numeric
@attribute U100 numeric
@attribute V100 numeric

@data
'20131130 1:00',?,-2.69556,1.204642,-3.581017,1.507665
'20131130 2:00',?,-2.590272,1.081529,-3.420896,1.317269
'20131130 3:00',?,-2.544634,0.980526,-3.350945,1.175278
'20131130 4:00',?,-2.405717,0.823745,-3.156395,0.952611
'20131130 5:00',?,-2.450555,0.770479,-3.21323,0.888715
'20131130 6:00',?,-2.644717,0.806157,-3.51216,0.956484
'20131130 7:00',?,-2.890523,0.803142,-3.953177,0.982945
'20131130 8:00',?,-2.647119,0.616211,-4.324789,0.867417
'20131130 9:00',?,-1.817625,0.507168,-4.875104,0.984236
'20131130 10:00',?,-2.320846,0.757917,-6.106345,1.495402
'20131130 11:00',?,-2.610689,0.619226,-7.407537,1.448932
'20131130 12:00',?,-2.404917,0.256921,-6.792736,0.26912
'20131130 13:00',?,-2.333657,0.1323,-6.263734,-0.392427
'20131130 14:00',?,-2.330054,0.058935,-6.058801,-0.729331
'20131130 15:00',?,-2.296025,-0.28126,-4.955985,-1.913016
'20131130 16:00',?,-2.324849,-0.451107,-5.899772,-3.032805
'20131130 17:00',?,-2.19434,-1.008885,-5.727081,-4.160984
'20131130 18:00',?,-2.119477,-1.382748,-5.312296,-5.144592
'20131130 19:00',?,-1.820827,-1.816911,-4.513875,-6.02816
'20131130 20:00',?,-1.88328,-2.554586,-4.153192,-7.246051
'20131130 21:00',?,-2.256392,-3.503313,-4.006733,-7.366098
'20131130 22:00',?,-2.279612,-4.005314,-3.500137,-6.650337
'20131130 23:00',?,-1.938126,-4.572138,-2.731773,-6.865904
'20131201 0:00',?,-1.259958,-5.355038,-1.75137,-7.797878
